id,geom,amenities_500,leisure_500
30254510,"40.7319,-73.95739",25,6
30254869,"40.75149,-73.87872",23,11
30255002,"40.73949,-73.98552",150,5
30255064,"40.72457,-73.95435",49,9
30255425,"40.67947,-73.97806",77,5
30255625,"40.71174,-73.94767",50,6
30256311,"40.66146,-73.85638",0,1
30256944,"40.76689,-73.87661",9,9
30256952,"40.73888,-73.8206",6,9
30257236,"40.67672,-73.95839",51,2
30257515,"40.70508,-73.92419",44,2
30258358,"40.77883,-73.9825",53,9
30262760,"40.67797,-73.90924",3,4
30264393,"40.66522,-73.88686",0,4
30264512,"40.66547,-73.8891",0,7
30264608,"40.74277,-74.00204",112,6
30264903,"40.67549,-73.94392",11,2
30265098,"40.66383,-73.94907",5,1
30265397,"40.7393,-73.9256",15,3
30266212,"40.68245,-73.95223",14,2
30266235,"40.76789,-73.93512",11,5
30267337,"40.72866,-74.0013",183,21
30268281,"40.69576,-73.93254",13,8
30268592,"40.75926,-73.94006",19,3
30268825,"40.72129,-73.99271",221,13
30269171,"40.79853,-73.93327",13,6
30269789,"40.86171,-73.92945",8,5
30269942,"40.72809,-73.98028",91,12
30270320,"40.70268,-73.93185",29,4
30272428,"40.63685,-73.93094",0,1
30272473,"40.74941,-73.99589",103,6
30272649,"40.80855,-73.93841",6,15
30273223,"40.58889,-73.94797",11,3
30273310,"40.63574,-74.03102",17,5
30273352,"40.83956,-73.94102",3,7
30274568,"40.86184,-73.92757",8,6
30275273,"40.68824,-73.95047",12,5
30279712,"40.65265,-73.91233",0,1
30281771,"40.67992,-73.99282",30,5
30282074,"40.76052,-73.99241",175,4
30283630,"40.69657,-73.93536",8,6
30283940,"40.7425,-73.97704",100,5
30284324,"40.77754,-73.95114",111,2
30285056,"40.86328,-73.92184",9,12
30285558,"40.77497,-73.98788",17,17
30285772,"40.70247,-73.90474",59,1
30286108,"40.68243,-73.95697",12,2
30286646,"40.85079,-73.94108",20,3
30286771,"40.83324,-73.94072",5,6
30287525,"40.82521,-73.94037",7,12
30288068,"40.81486,-73.93941",9,7
30288537,"40.73807,-74.00468",104,20
30289305,"40.81051,-73.94014",11,17
30289333,"40.77262,-73.9501",57,3
30290307,"40.72607,-74.00166",163,26
30291283,"40.72861,-73.97734",28,14
30291704,"40.58952,-74.15587",0,2
30292232,"40.72447,-73.94458",16,7
30292454,"40.69319,-73.96093",15,9
30293230,"40.70916,-73.96252",42,23
30293266,"40.67727,-73.90663",4,3
30293282,"40.67627,-73.90795",4,3
30293703,"40.79009,-73.97544",69,6
30293824,"40.79855,-73.9717",46,8
30294144,"40.67612,-73.90813",4,4
30294243,"40.71069,-73.94106",23,2
